solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.1
0.1,0.4,37.9
0.1,0.5,46.2
0.1,0.6,53.3
0.1,0.7,59.1
0.1,0.9,68.9
0.3,0.1,9.8
0.3,0.3,28.7
0.3,0.4,37.5
0.3,0.5,45.3
0.3,0.6,52.5
0.3,0.7,58.1
0.3,0.9,65.5
0.4,0.1,9.8
0.4,0.3,28.5
0.4,0.4,37.0
0.4,0.5,44.6
0.4,0.6,51.5
0.4,0.7,56.7
0.4,0.9,60.3
0.5,0.1,9.9
0.5,0.3,28.1
0.5,0.4,36.3
0.5,0.5,43.8
0.5,0.6,50.0
0.5,0.7,54.2
0.6,0.1,9.8
0.6,0.3,27.6
0.6,0.4,35.7
0.6,0.5,42.8
0.6,0.6,48.4
0.6,0.7,51.2
0.7,0.1,9.7
0.7,0.3,27.2
0.7,0.4,35.1
0.7,0.5,41.8
0.7,0.6,46.4
0.9,0.1,9.5
0.9,0.3,26.3
0.9,0.4,33.8
