solar,wind,wind theo share
0.1,0.1,10.0
0.1,0.3,29.4
0.1,0.4,38.7
0.1,0.5,47.9
0.1,0.6,57.2
0.1,0.7,66.6
0.1,0.9,84.3
0.3,0.1,10.0
0.3,0.3,29.4
0.3,0.4,38.6
0.3,0.5,47.5
0.3,0.6,56.5
0.3,0.7,65.1
0.3,0.9,83.6
0.4,0.1,10.0
0.4,0.3,29.3
0.4,0.4,38.5
0.4,0.5,47.3
0.4,0.6,56.2
0.4,0.7,65.0
0.4,0.9,85.8
0.5,0.1,10.0
0.5,0.3,29.3
0.5,0.4,38.4
0.5,0.5,47.2
0.5,0.6,55.9
0.5,0.7,65.3
0.6,0.1,10.0
0.6,0.3,29.3
0.6,0.4,38.3
0.6,0.5,47.0
0.6,0.6,56.1
0.6,0.7,67.0
0.7,0.1,10.0
0.7,0.3,29.3
0.7,0.4,38.3
0.7,0.5,47.1
0.7,0.6,57.0
0.9,0.1,9.9
0.9,0.3,29.0
0.9,0.4,38.1
