solar,wind,DK solar cap
0.1,0.1,0.0
0.1,0.3,0.1
0.1,0.4,0.1
0.1,0.5,0.1
0.1,0.6,0.0
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,0.7
0.3,0.3,1.5
0.3,0.4,1.5
0.3,0.5,1.5
0.3,0.6,1.5
0.3,0.7,1.4
0.3,0.9,1.2
0.4,0.1,1.5
0.4,0.3,2.4
0.4,0.4,3.3
0.4,0.5,3.6
0.4,0.6,1.5
0.4,0.7,1.5
0.4,0.9,1.4
0.5,0.1,1.5
0.5,0.3,2.9
0.5,0.4,4.0
0.5,0.5,4.4
0.5,0.6,4.6
0.5,0.7,4.0
0.6,0.1,1.4
0.6,0.3,2.9
0.6,0.4,4.3
0.6,0.5,5.6
0.6,0.6,4.9
0.6,0.7,4.0
0.7,0.1,3.3
0.7,0.3,4.0
0.7,0.4,5.7
0.7,0.5,7.0
0.7,0.6,5.4
0.9,0.1,4.5
0.9,0.3,6.9
0.9,0.4,9.2
