solar,wind,DK wind cap
0.1,0.1,13.9
0.1,0.3,14.9
0.1,0.4,16.3
0.1,0.5,18.0
0.1,0.6,22.1
0.1,0.7,26.6
0.1,0.9,36.6
0.3,0.1,13.5
0.3,0.3,14.5
0.3,0.4,15.6
0.3,0.5,17.0
0.3,0.6,20.1
0.3,0.7,25.4
0.3,0.9,37.2
0.4,0.1,13.1
0.4,0.3,14.4
0.4,0.4,15.4
0.4,0.5,16.8
0.4,0.6,20.6
0.4,0.7,25.4
0.4,0.9,38.8
0.5,0.1,13.0
0.5,0.3,14.3
0.5,0.4,15.1
0.5,0.5,17.4
0.5,0.6,21.2
0.5,0.7,26.2
0.6,0.1,12.6
0.6,0.3,14.3
0.6,0.4,15.5
0.6,0.5,17.7
0.6,0.6,21.9
0.6,0.7,28.2
0.7,0.1,12.2
0.7,0.3,14.2
0.7,0.4,15.6
0.7,0.5,18.5
0.7,0.6,23.4
0.9,0.1,12.4
0.9,0.3,14.0
0.9,0.4,16.4
