solar,wind,ES solar cap
0.1,0.1,53.7
0.1,0.3,42.2
0.1,0.4,42.0
0.1,0.5,42.0
0.1,0.6,42.0
0.1,0.7,42.0
0.1,0.9,42.0
0.3,0.1,209.1
0.3,0.3,182.2
0.3,0.4,173.9
0.3,0.5,162.4
0.3,0.6,155.6
0.3,0.7,147.3
0.3,0.9,138.4
0.4,0.1,239.9
0.4,0.3,203.4
0.4,0.4,197.0
0.4,0.5,191.4
0.4,0.6,177.0
0.4,0.7,173.3
0.4,0.9,163.2
0.5,0.1,276.7
0.5,0.3,230.8
0.5,0.4,215.9
0.5,0.5,215.2
0.5,0.6,206.5
0.5,0.7,200.5
0.6,0.1,303.3
0.6,0.3,253.9
0.6,0.4,242.2
0.6,0.5,236.5
0.6,0.6,229.7
0.6,0.7,235.4
0.7,0.1,317.9
0.7,0.3,280.0
0.7,0.4,260.9
0.7,0.5,259.9
0.7,0.6,264.0
0.9,0.1,355.3
0.9,0.3,358.6
0.9,0.4,342.7
