solar,wind,ES wind cap
0.1,0.1,22.7
0.1,0.3,31.1
0.1,0.4,35.8
0.1,0.5,38.3
0.1,0.6,40.8
0.1,0.7,44.7
0.1,0.9,51.6
0.3,0.1,18.3
0.3,0.3,30.6
0.3,0.4,35.0
0.3,0.5,44.0
0.3,0.6,46.1
0.3,0.7,44.6
0.3,0.9,53.0
0.4,0.1,12.1
0.4,0.3,26.2
0.4,0.4,29.5
0.4,0.5,34.3
0.4,0.6,40.3
0.4,0.7,44.0
0.4,0.9,42.1
0.5,0.1,2.6
0.5,0.3,21.5
0.5,0.4,26.8
0.5,0.5,30.1
0.5,0.6,38.8
0.5,0.7,40.8
0.6,0.1,0.9
0.6,0.3,17.0
0.6,0.4,21.6
0.6,0.5,29.5
0.6,0.6,34.5
0.6,0.7,34.3
0.7,0.1,0.8
0.7,0.3,12.9
0.7,0.4,20.3
0.7,0.5,26.3
0.7,0.6,29.0
0.9,0.1,0.8
0.9,0.3,1.0
0.9,0.4,10.1
