solar,wind,SDES capacity factor
0.1,0.1,12.7
0.1,0.3,11.6
0.1,0.4,11.0
0.1,0.5,10.7
0.1,0.6,10.9
0.1,0.7,11.1
0.1,0.9,10.4
0.3,0.1,18.6
0.3,0.3,18.8
0.3,0.4,18.6
0.3,0.5,18.3
0.3,0.6,17.8
0.3,0.7,17.7
0.3,0.9,16.7
0.4,0.1,19.7
0.4,0.3,20.1
0.4,0.4,20.1
0.4,0.5,19.6
0.4,0.6,18.9
0.4,0.7,18.2
0.4,0.9,16.5
0.5,0.1,20.0
0.5,0.3,20.5
0.5,0.4,20.1
0.5,0.5,19.5
0.5,0.6,18.7
0.5,0.7,17.4
0.6,0.1,20.3
0.6,0.3,20.6
0.6,0.4,20.0
0.6,0.5,19.1
0.6,0.6,18.1
0.6,0.7,17.2
0.7,0.1,20.5
0.7,0.3,20.7
0.7,0.4,19.8
0.7,0.5,18.6
0.7,0.6,17.7
0.9,0.1,20.6
0.9,0.3,20.3
0.9,0.4,19.4
