solar,wind,SDES discharge cap
0.1,0.1,142.5
0.1,0.3,135.4
0.1,0.4,143.0
0.1,0.5,157.3
0.1,0.6,172.2
0.1,0.7,190.5
0.1,0.9,223.5
0.3,0.1,350.2
0.3,0.3,382.2
0.3,0.4,394.9
0.3,0.5,405.9
0.3,0.6,414.5
0.3,0.7,419.7
0.3,0.9,428.8
0.4,0.1,465.3
0.4,0.3,496.7
0.4,0.4,512.8
0.4,0.5,524.3
0.4,0.6,534.7
0.4,0.7,533.6
0.4,0.9,526.4
0.5,0.1,564.7
0.5,0.3,604.8
0.5,0.4,624.8
0.5,0.5,639.4
0.5,0.6,637.6
0.5,0.7,640.0
0.6,0.1,655.7
0.6,0.3,708.9
0.6,0.4,730.8
0.6,0.5,737.0
0.6,0.6,728.5
0.6,0.7,704.6
0.7,0.1,760.7
0.7,0.3,796.1
0.7,0.4,821.6
0.7,0.5,821.0
0.7,0.6,795.8
0.9,0.1,937.8
0.9,0.3,951.7
0.9,0.4,952.9
