solar,wind,SDES inv cost
0.1,0.1,828.1
0.1,0.3,966.6
0.1,0.4,1007.7
0.1,0.5,1070.8
0.1,0.6,1114.7
0.1,0.7,1078.0
0.1,0.9,978.1
0.3,0.1,803.3
0.3,0.3,919.5
0.3,0.4,963.8
0.3,0.5,971.9
0.3,0.6,995.5
0.3,0.7,1000.5
0.3,0.9,998.4
0.4,0.1,811.4
0.4,0.3,929.4
0.4,0.4,963.8
0.4,0.5,982.5
0.4,0.6,995.0
0.4,0.7,999.1
0.4,0.9,985.7
0.5,0.1,819.1
0.5,0.3,925.0
0.5,0.4,942.9
0.5,0.5,976.9
0.5,0.6,976.9
0.5,0.7,978.6
0.6,0.1,828.7
0.6,0.3,923.5
0.6,0.4,949.6
0.6,0.5,961.6
0.6,0.6,969.0
0.6,0.7,968.2
0.7,0.1,821.0
0.7,0.3,919.1
0.7,0.4,936.0
0.7,0.5,946.6
0.7,0.6,960.7
0.9,0.1,830.4
0.9,0.3,915.3
0.9,0.4,935.6
