solar,wind,SDES no cycles
0.1,0.1,544
0.1,0.3,521
0.1,0.4,506
0.1,0.5,473
0.1,0.6,462
0.1,0.7,453
0.1,0.9,443
0.3,0.1,375
0.3,0.3,373
0.3,0.4,378
0.3,0.5,378
0.3,0.6,378
0.3,0.7,378
0.3,0.9,376
0.4,0.1,365
0.4,0.3,365
0.4,0.4,366
0.4,0.5,367
0.4,0.6,366
0.4,0.7,367
0.4,0.9,367
0.5,0.1,366
0.5,0.3,367
0.5,0.4,367
0.5,0.5,366
0.5,0.6,366
0.5,0.7,367
0.6,0.1,367
0.6,0.3,368
0.6,0.4,366
0.6,0.5,366
0.6,0.6,366
0.6,0.7,366
0.7,0.1,367
0.7,0.3,367
0.7,0.4,366
0.7,0.5,366
0.7,0.6,366
0.9,0.1,367
0.9,0.3,367
0.9,0.4,366
