solar,wind,backup capacity
0.1,0.1,431.91
0.1,0.3,391.26
0.1,0.4,373.52
0.1,0.5,354.05
0.1,0.6,331.56
0.1,0.7,312.62
0.1,0.9,277.78
0.3,0.1,383.63
0.3,0.3,333.6
0.3,0.4,313.81
0.3,0.5,293.31
0.3,0.6,271.63
0.3,0.7,252.11
0.3,0.9,223.33
0.4,0.1,367.79
0.4,0.3,314.66
0.4,0.4,291.58
0.4,0.5,268.87
0.4,0.6,250.83
0.4,0.7,231.29
0.4,0.9,205.66
0.5,0.1,356.3
0.5,0.3,300.46
0.5,0.4,275.62
0.5,0.5,255.99
0.5,0.6,237.08
0.5,0.7,218.36
0.6,0.1,341.6
0.6,0.3,285.5
0.6,0.4,263.12
0.6,0.5,241.77
0.6,0.6,223.48
0.6,0.7,210.95
0.7,0.1,324.37
0.7,0.3,273.44
0.7,0.4,250.57
0.7,0.5,229.43
0.7,0.6,214.36
0.9,0.1,295.73
0.9,0.3,253.19
0.9,0.4,229.96
