solar,wind,backup capacity factor high
0.1,0.1,93.96
0.1,0.3,89.33
0.1,0.4,84.92
0.1,0.5,80.97
0.1,0.6,77.41
0.1,0.7,75.65
0.1,0.9,71.82
0.3,0.1,87.13
0.3,0.3,80.9
0.3,0.4,75.17
0.3,0.5,69.23
0.3,0.6,64.81
0.3,0.7,61.25
0.3,0.9,54.11
0.4,0.1,84.65
0.4,0.3,76.21
0.4,0.4,69.47
0.4,0.5,63.06
0.4,0.6,57.25
0.4,0.7,52.52
0.4,0.9,49.04
0.5,0.1,81.34
0.5,0.3,72.03
0.5,0.4,65.12
0.5,0.5,56.76
0.5,0.6,51.15
0.5,0.7,47.63
0.6,0.1,78.39
0.6,0.3,68.43
0.6,0.4,60.19
0.6,0.5,51.43
0.6,0.6,47.19
0.6,0.7,45.33
0.7,0.1,75.96
0.7,0.3,65.25
0.7,0.4,55.42
0.7,0.5,47.86
0.7,0.6,44.61
0.9,0.1,73.46
0.9,0.3,60.66
0.9,0.4,48.96
