solar,wind,backup capacity factor low
0.1,0.1,3.4
0.1,0.3,3.46
0.1,0.4,3.43
0.1,0.5,3.09
0.1,0.6,3.05
0.1,0.7,3.06
0.1,0.9,3.31
0.3,0.1,3.02
0.3,0.3,3.21
0.3,0.4,3.07
0.3,0.5,3.32
0.3,0.6,3.33
0.3,0.7,3.52
0.3,0.9,3.5
0.4,0.1,3.07
0.4,0.3,3.11
0.4,0.4,2.8
0.4,0.5,3.03
0.4,0.6,3.14
0.4,0.7,3.35
0.4,0.9,3.57
0.5,0.1,2.91
0.5,0.3,2.94
0.5,0.4,2.92
0.5,0.5,2.86
0.5,0.6,2.99
0.5,0.7,3.24
0.6,0.1,2.91
0.6,0.3,2.89
0.6,0.4,2.84
0.6,0.5,2.84
0.6,0.6,3.03
0.6,0.7,3.28
0.7,0.1,3.09
0.7,0.3,2.91
0.7,0.4,2.8
0.7,0.5,2.86
0.7,0.6,3.16
0.9,0.1,3.23
0.9,0.3,2.77
0.9,0.4,2.81
