solar,wind,solar absolute curt
0.1,0.1,52424.5
0.1,0.3,7595.7
0.1,0.4,9211.8
0.1,0.5,26756.5
0.1,0.6,73791.1
0.1,0.7,60617.7
0.1,0.9,290252.9
0.3,0.1,73254555.3
0.3,0.3,40902171.1
0.3,0.4,31318811.2
0.3,0.5,27754449.1
0.3,0.6,27087377.5
0.3,0.7,28943283.0
0.3,0.9,36882728.7
0.4,0.1,176186039.6
0.4,0.3,123532253.0
0.4,0.4,113650774.1
0.4,0.5,106706030.8
0.4,0.6,105044081.6
0.4,0.7,104292358.2
0.4,0.9,127752157.6
0.5,0.1,297170315.5
0.5,0.3,243615851.8
0.5,0.4,229006213.4
0.5,0.5,220702939.6
0.5,0.6,225524055.9
0.5,0.7,240840585.6
0.6,0.1,438323256.4
0.6,0.3,384158540.9
0.6,0.4,369702452.3
0.6,0.5,373535355.4
0.6,0.6,393637330.7
0.6,0.7,433254995.8
0.7,0.1,593708047.9
0.7,0.3,553584020.5
0.7,0.4,543988105.4
0.7,0.5,560794821.0
0.7,0.6,598482060.0
0.9,0.1,984087370.7
0.9,0.3,965105132.3
0.9,0.4,976924258.8
