solar,wind,system efficiency
0.1,0.1,98.2
0.1,0.3,98.3
0.1,0.4,98.5
0.1,0.5,98.6
0.1,0.6,98.6
0.1,0.7,98.6
0.1,0.9,98.6
0.3,0.1,98.0
0.3,0.3,97.7
0.3,0.4,97.6
0.3,0.5,97.5
0.3,0.6,97.3
0.3,0.7,97.3
0.3,0.9,97.3
0.4,0.1,97.6
0.4,0.3,97.3
0.4,0.4,97.3
0.4,0.5,97.0
0.4,0.6,96.9
0.4,0.7,97.1
0.4,0.9,96.8
0.5,0.1,97.2
0.5,0.3,96.8
0.5,0.4,96.7
0.5,0.5,96.4
0.5,0.6,96.1
0.5,0.7,96.3
0.6,0.1,96.8
0.6,0.3,96.1
0.6,0.4,95.9
0.6,0.5,95.9
0.6,0.6,95.5
0.6,0.7,95.7
0.7,0.1,96.1
0.7,0.3,95.2
0.7,0.4,95.1
0.7,0.5,95.0
0.7,0.6,95.1
0.9,0.1,94.8
0.9,0.3,94.2
0.9,0.4,94.3
