solar,wind,wind absolute curt
0.1,0.1,308438.6
0.1,0.3,21674316.6
0.1,0.4,56396911.7
0.1,0.5,133364825.5
0.1,0.6,248275097.5
0.1,0.7,418706777.3
0.1,0.9,808867862.7
0.3,0.1,5625603.1
0.3,0.3,32374591.2
0.3,0.4,80853509.9
0.3,0.5,172180260.6
0.3,0.6,309467152.4
0.3,0.7,494740050.0
0.3,0.9,939894745.3
0.4,0.1,6053437.1
0.4,0.3,40748781.0
0.4,0.4,97009894.9
0.4,0.5,209161376.3
0.4,0.6,364264581.3
0.4,0.7,568008249.3
0.4,0.9,1051214425.7
0.5,0.1,4083561.2
0.5,0.3,54218741.9
0.5,0.4,129393828.3
0.5,0.5,258833911.2
0.5,0.6,443095308.1
0.5,0.7,650051581.7
0.6,0.1,5985414.2
0.6,0.3,73582246.2
0.6,0.4,164932749.6
0.6,0.5,308760955.7
0.6,0.6,507044832.0
0.6,0.7,721697339.9
0.7,0.1,8569143.5
0.7,0.3,96159542.2
0.7,0.4,195194959.3
0.7,0.5,357587102.9
0.7,0.6,560635536.6
0.9,0.1,12654389.6
0.9,0.3,133256354.3
0.9,0.4,253706244.9
