solar,wind,wind cap
0.1,0.1,112.9
0.1,0.3,350.0
0.1,0.4,454.0
0.1,0.5,554.1
0.1,0.6,672.0
0.1,0.7,803.7
0.1,0.9,1068.2
0.3,0.1,111.9
0.3,0.3,346.3
0.3,0.4,452.8
0.3,0.5,576.7
0.3,0.6,704.0
0.3,0.7,837.3
0.3,0.9,1105.8
0.4,0.1,110.6
0.4,0.3,347.6
0.4,0.4,452.8
0.4,0.5,584.8
0.4,0.6,715.3
0.4,0.7,848.6
0.4,0.9,1105.9
0.5,0.1,108.0
0.5,0.3,347.0
0.5,0.4,455.2
0.5,0.5,568.4
0.5,0.6,709.6
0.5,0.7,847.3
0.6,0.1,107.5
0.6,0.3,344.4
0.6,0.4,446.9
0.6,0.5,564.9
0.6,0.6,703.9
0.6,0.7,836.4
0.7,0.1,108.1
0.7,0.3,337.8
0.7,0.4,444.4
0.7,0.5,565.3
0.7,0.6,694.8
0.9,0.1,108.4
0.9,0.3,323.2
0.9,0.4,437.8
