solar,wind,ES solar cap
0.1,0.1,49.9
0.1,0.3,52.4
0.1,0.4,51.4
0.1,0.5,47.7
0.1,0.6,48.1
0.1,0.7,48.5
0.1,0.9,46.5
0.3,0.1,96.8
0.3,0.3,116.8
0.3,0.4,124.7
0.3,0.5,143.4
0.3,0.6,150.3
0.3,0.7,163.9
0.3,0.9,182.0
0.4,0.1,166.5
0.4,0.3,202.6
0.4,0.4,224.4
0.4,0.5,269.2
0.4,0.6,291.2
0.4,0.7,312.2
0.4,0.9,339.3
0.5,0.1,285.9
0.5,0.3,354.6
0.5,0.4,376.1
0.5,0.5,450.4
0.5,0.6,481.7
0.5,0.7,503.2
0.6,0.1,459.3
0.6,0.3,545.7
0.6,0.4,569.4
0.6,0.5,648.4
0.6,0.6,683.7
0.6,0.7,705.6
0.7,0.1,653.8
0.7,0.3,747.8
0.7,0.4,795.2
0.7,0.5,846.6
0.7,0.6,886.9
0.9,0.1,1060.2
0.9,0.3,1123.0
0.9,0.4,1122.9
