solar,wind,LDES absolute dispatch
0.1,0.1,347.9
0.1,0.3,247.6
0.1,0.4,266.6
0.1,0.5,279.8
0.1,0.6,267.5
0.1,0.7,282.0
0.1,0.9,312.0
0.3,0.1,70.6
0.3,0.3,103.5
0.3,0.4,264.6
0.3,0.5,60.3
0.3,0.6,299.4
0.3,0.7,338.2
0.3,0.9,318.5
0.4,0.1,96.3
0.4,0.3,314.2
0.4,0.4,103.4
0.4,0.5,336.8
0.4,0.6,92.2
0.4,0.7,338.0
0.4,0.9,80.2
0.5,0.1,208.9
0.5,0.3,354.2
0.5,0.4,348.8
0.5,0.5,62.9
0.5,0.6,413.2
0.5,0.7,83.8
0.6,0.1,12266.0
0.6,0.3,848.7
0.6,0.4,155.8
0.6,0.5,1.2
0.6,0.6,105.7
0.6,0.7,6460.7
0.7,0.1,283.9
0.7,0.3,395.9
0.7,0.4,76.1
0.7,0.5,60.4
0.7,0.6,91.8
0.9,0.1,371.3
0.9,0.3,334.8
0.9,0.4,0.0
