solar,wind,backup capacity factor high
0.1,0.1,100.0
0.1,0.3,82.27
0.1,0.4,78.29
0.1,0.5,74.98
0.1,0.6,72.51
0.1,0.7,70.56
0.1,0.9,68.3
0.3,0.1,74.37
0.3,0.3,69.08
0.3,0.4,65.83
0.3,0.5,63.73
0.3,0.6,61.94
0.3,0.7,60.98
0.3,0.9,59.8
0.4,0.1,70.9
0.4,0.3,66.32
0.4,0.4,63.62
0.4,0.5,61.74
0.4,0.6,60.34
0.4,0.7,59.61
0.4,0.9,58.65
0.5,0.1,69.34
0.5,0.3,65.26
0.5,0.4,62.84
0.5,0.5,61.18
0.5,0.6,59.85
0.5,0.7,59.15
0.6,0.1,68.77
0.6,0.3,64.91
0.6,0.4,62.53
0.6,0.5,60.89
0.6,0.6,59.59
0.6,0.7,58.86
0.7,0.1,68.5
0.7,0.3,64.72
0.7,0.4,62.32
0.7,0.5,60.68
0.7,0.6,59.42
0.9,0.1,68.29
0.9,0.3,64.45
0.9,0.4,62.09
