solar,wind,solar absolute curt
0.1,0.1,574091.2
0.1,0.3,945200.9
0.1,0.4,1069663.3
0.1,0.5,1024094.9
0.1,0.6,1451253.0
0.1,0.7,1871215.4
0.1,0.9,2279141.1
0.3,0.1,102504964.7
0.3,0.3,136275884.1
0.3,0.4,157314163.9
0.3,0.5,179186940.8
0.3,0.6,198828075.5
0.3,0.7,217326950.9
0.3,0.9,243310392.9
0.4,0.1,311669429.2
0.4,0.3,363563755.3
0.4,0.4,398085455.6
0.4,0.5,432032489.6
0.4,0.6,465345224.9
0.4,0.7,490454714.2
0.4,0.9,524444581.7
0.5,0.1,583566833.7
0.5,0.3,651633886.1
0.5,0.4,693772455.0
0.5,0.5,733646715.1
0.5,0.6,772156731.8
0.5,0.7,797876673.7
0.6,0.1,886125978.6
0.6,0.3,962230568.3
0.6,0.4,1005468273.8
0.6,0.5,1046482516.5
0.6,0.6,1087376204.6
0.6,0.7,1112326842.1
0.7,0.1,1198411660.1
0.7,0.3,1277086552.3
0.7,0.4,1321062973.4
0.7,0.5,1363278085.3
0.7,0.6,1404013982.5
0.9,0.1,1834261431.8
0.9,0.3,1912518611.8
0.9,0.4,1956921966.7
