solar,wind,solar cap
0.1,0.1,247.3
0.1,0.3,247.6
0.1,0.4,248.8
0.1,0.5,250.3
0.1,0.6,250.4
0.1,0.7,250.4
0.1,0.9,251.0
0.3,0.1,838.8
0.3,0.3,823.8
0.3,0.4,815.0
0.3,0.5,806.7
0.3,0.6,798.7
0.3,0.7,790.9
0.3,0.9,780.8
0.4,0.1,1092.5
0.4,0.3,1067.1
0.4,0.4,1052.6
0.4,0.5,1039.3
0.4,0.6,1026.8
0.4,0.7,1016.7
0.4,0.9,1003.8
0.5,0.1,1327.0
0.5,0.3,1291.4
0.5,0.4,1273.3
0.5,0.5,1256.9
0.5,0.6,1242.1
0.5,0.7,1232.3
0.6,0.1,1547.7
0.6,0.3,1506.6
0.6,0.4,1487.8
0.6,0.5,1470.5
0.6,0.6,1455.3
0.6,0.7,1445.5
0.7,0.1,1762.9
0.7,0.3,1720.3
0.7,0.4,1700.8
0.7,0.5,1683.8
0.7,0.6,1668.3
0.9,0.1,2188.9
0.9,0.3,2147.1
0.9,0.4,2128.2
