solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,9.9
0.1,0.9,9.9
0.3,0.1,26.8
0.3,0.3,25.8
0.3,0.4,25.1
0.3,0.5,24.4
0.3,0.6,23.8
0.3,0.7,23.2
0.3,0.9,22.4
0.4,0.1,30.3
0.4,0.3,28.7
0.4,0.4,27.6
0.4,0.5,26.6
0.4,0.6,25.5
0.4,0.7,24.7
0.4,0.9,23.7
0.5,0.1,31.8
0.5,0.3,29.7
0.5,0.4,28.4
0.5,0.5,27.2
0.5,0.6,26.0
0.5,0.7,25.2
0.6,0.1,32.4
0.6,0.3,30.1
0.6,0.4,28.7
0.6,0.5,27.4
0.6,0.6,26.2
0.6,0.7,25.4
0.7,0.1,32.7
0.7,0.3,30.3
0.7,0.4,28.9
0.7,0.5,27.6
0.7,0.6,26.3
0.9,0.1,32.9
0.9,0.3,30.5
0.9,0.4,29.1
