solar,wind,system cost
0.1,0.1,200.3
0.1,0.3,200.3
0.1,0.4,203.5
0.1,0.5,207.9
0.1,0.6,214.2
0.1,0.7,221.9
0.1,0.9,239.9
0.3,0.1,203.5
0.3,0.3,207.7
0.3,0.4,212.1
0.3,0.5,218.1
0.3,0.6,225.4
0.3,0.7,233.7
0.3,0.9,252.3
0.4,0.1,214.8
0.4,0.3,216.4
0.4,0.4,221.1
0.4,0.5,227.1
0.4,0.6,234.9
0.4,0.7,243.4
0.4,0.9,262.1
0.5,0.1,220.5
0.5,0.3,226.0
0.5,0.4,230.8
0.5,0.5,246.6
0.5,0.6,244.6
0.5,0.7,253.4
0.6,0.1,230.6
0.6,0.3,237.0
0.6,0.4,241.0
0.6,0.5,273.1
0.6,0.6,254.9
0.6,0.7,263.5
0.7,0.1,240.4
0.7,0.3,246.1
0.7,0.4,251.1
0.7,0.5,257.3
0.7,0.6,264.9
0.9,0.1,260.7
0.9,0.3,266.2
0.9,0.4,335.6
