solar,wind,wind absolute curt
0.1,0.1,2004292.5
0.1,0.3,53296310.9
0.1,0.4,89316212.4
0.1,0.5,184870671.1
0.1,0.6,343429442.3
0.1,0.7,556780965.5
0.1,0.9,1067147093.5
0.3,0.1,15820419.9
0.3,0.3,113221640.3
0.3,0.4,189046250.1
0.3,0.5,332801068.7
0.3,0.6,520766894.9
0.3,0.7,758577428.6
0.3,0.9,1299799790.9
0.4,0.1,21710519.7
0.4,0.3,139215835.1
0.4,0.4,220259465.3
0.4,0.5,363252007.7
0.4,0.6,545090720.4
0.4,0.7,783060584.2
0.4,0.9,1326156961.0
0.5,0.1,24362191.9
0.5,0.3,147253490.6
0.5,0.4,229410688.8
0.5,0.5,371422306.5
0.5,0.6,554102083.4
0.5,0.7,787950252.3
0.6,0.1,24991878.9
0.6,0.3,149372630.3
0.6,0.4,232277685.5
0.6,0.5,375067637.8
0.6,0.6,556154281.0
0.6,0.7,790134323.4
0.7,0.1,25907261.6
0.7,0.3,150790258.3
0.7,0.4,234006747.9
0.7,0.5,376658877.0
0.7,0.6,558040065.3
0.9,0.1,26133069.4
0.9,0.3,152002058.6
0.9,0.4,236561241.5
