solar,wind,wind capacity factor
0.1,0.1,24.6
0.1,0.3,23.5
0.1,0.4,23.3
0.1,0.5,22.7
0.1,0.6,22.0
0.1,0.7,21.5
0.1,0.9,20.8
0.3,0.1,22.8
0.3,0.3,22.4
0.3,0.4,21.6
0.3,0.5,21.5
0.3,0.6,20.8
0.3,0.7,20.1
0.3,0.9,19.6
0.4,0.1,22.7
0.4,0.3,21.6
0.4,0.4,21.8
0.4,0.5,20.9
0.4,0.6,20.6
0.4,0.7,19.8
0.4,0.9,19.5
0.5,0.1,21.6
0.5,0.3,21.3
0.5,0.4,21.3
0.5,0.5,21.1
0.5,0.6,19.6
0.5,0.7,19.9
0.6,0.1,21.2
0.6,0.3,21.2
0.6,0.4,21.1
0.6,0.5,21.0
0.6,0.6,20.4
0.6,0.7,19.2
0.7,0.1,21.8
0.7,0.3,21.6
0.7,0.4,21.6
0.7,0.5,21.0
0.7,0.6,20.4
0.9,0.1,21.5
0.9,0.3,21.4
0.9,0.4,21.6
