solar,wind,DK solar cap
0.1,0.1,0.0
0.1,0.3,0.4
0.1,0.4,1.2
0.1,0.5,1.2
0.1,0.6,0.4
0.1,0.7,0.0
0.1,0.9,0.0
0.3,0.1,4.0
0.3,0.3,4.3
0.3,0.4,5.5
0.3,0.5,5.0
0.3,0.6,2.7
0.3,0.7,1.4
0.3,0.9,1.4
0.4,0.1,4.9
0.4,0.3,4.7
0.4,0.4,6.5
0.4,0.5,6.7
0.4,0.6,5.7
0.4,0.7,2.8
0.4,0.9,2.1
0.5,0.1,4.9
0.5,0.3,5.2
0.5,0.4,6.6
0.5,0.5,7.2
0.5,0.6,6.0
0.5,0.7,4.0
0.6,0.1,5.1
0.6,0.3,5.3
0.6,0.4,6.6
0.6,0.5,7.2
0.6,0.6,6.0
0.6,0.7,4.0
0.7,0.1,5.0
0.7,0.3,5.3
0.7,0.4,6.6
0.7,0.5,7.2
0.7,0.6,6.1
0.9,0.1,5.0
0.9,0.3,5.6
0.9,0.4,6.8
