solar,wind,DK wind cap
0.1,0.1,14.0
0.1,0.3,14.9
0.1,0.4,16.1
0.1,0.5,18.9
0.1,0.6,23.8
0.1,0.7,29.7
0.1,0.9,39.4
0.3,0.1,13.4
0.3,0.3,14.4
0.3,0.4,15.4
0.3,0.5,18.3
0.3,0.6,22.5
0.3,0.7,28.0
0.3,0.9,38.2
0.4,0.1,13.4
0.4,0.3,14.4
0.4,0.4,15.4
0.4,0.5,18.2
0.4,0.6,22.4
0.4,0.7,28.0
0.4,0.9,38.2
0.5,0.1,13.4
0.5,0.3,14.4
0.5,0.4,15.4
0.5,0.5,18.1
0.5,0.6,22.4
0.5,0.7,28.0
0.6,0.1,13.3
0.6,0.3,14.4
0.6,0.4,15.4
0.6,0.5,18.1
0.6,0.6,22.4
0.6,0.7,28.0
0.7,0.1,13.3
0.7,0.3,14.4
0.7,0.4,15.4
0.7,0.5,18.0
0.7,0.6,22.4
0.9,0.1,13.4
0.9,0.3,14.4
0.9,0.4,15.5
