solar,wind,SDES absolute dispatch
0.1,0.1,3032.9
0.1,0.3,3710.0
0.1,0.4,3265.8
0.1,0.5,2705.6
0.1,0.6,2922.4
0.1,0.7,3458.0
0.1,0.9,2885.0
0.3,0.1,3006.5
0.3,0.3,3559.8
0.3,0.4,3413.4
0.3,0.5,2322.4
0.3,0.6,3456.7
0.3,0.7,3205.9
0.3,0.9,3606.4
0.4,0.1,3992.8
0.4,0.3,3082.6
0.4,0.4,3264.8
0.4,0.5,3134.1
0.4,0.6,3394.2
0.4,0.7,3264.2
0.4,0.9,3052.6
0.5,0.1,4464.2
0.5,0.3,3241.6
0.5,0.4,3779.3
0.5,0.5,3653.1
0.5,0.6,3446.5
0.5,0.7,2858.7
0.6,0.1,4213.9
0.6,0.3,4306.5
0.6,0.4,3061.6
0.6,0.5,4167.7
0.6,0.6,3526.3
0.6,0.7,3264.2
0.7,0.1,4296.4
0.7,0.3,4057.8
0.7,0.4,3657.6
0.7,0.5,2765.8
0.7,0.6,4166.7
0.9,0.1,4095.8
0.9,0.3,3349.8
0.9,0.4,3615.5
