solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.2
0.1,0.4,48.1
0.1,0.5,55.4
0.1,0.6,61.0
0.1,0.7,65.8
0.1,0.9,72.8
0.3,0.1,34.6
0.3,0.3,52.8
0.3,0.4,60.6
0.3,0.5,66.8
0.3,0.6,71.5
0.3,0.7,75.0
0.3,0.9,80.9
0.4,0.1,37.1
0.4,0.3,54.5
0.4,0.4,61.9
0.4,0.5,67.9
0.4,0.6,72.4
0.4,0.7,75.9
0.4,0.9,81.5
0.5,0.1,38.2
0.5,0.3,55.1
0.5,0.4,62.4
0.5,0.5,68.2
0.5,0.6,72.8
0.5,0.7,76.1
0.6,0.1,38.5
0.6,0.3,55.4
0.6,0.4,62.6
0.6,0.5,68.3
0.6,0.6,72.9
0.6,0.7,76.2
0.7,0.1,38.7
0.7,0.3,55.4
0.7,0.4,62.6
0.7,0.5,68.4
0.7,0.6,72.9
0.9,0.1,39.1
0.9,0.3,55.7
0.9,0.4,62.8
