solar,wind,backup capacity factor high
0.1,0.1,89.33
0.1,0.3,84.73
0.1,0.4,80.1
0.1,0.5,75.89
0.1,0.6,72.78
0.1,0.7,70.32
0.1,0.9,66.98
0.3,0.1,75.84
0.3,0.3,68.81
0.3,0.4,63.78
0.3,0.5,59.66
0.3,0.6,56.86
0.3,0.7,55.47
0.3,0.9,52.83
0.4,0.1,73.17
0.4,0.3,66.55
0.4,0.4,61.87
0.4,0.5,57.96
0.4,0.6,55.26
0.4,0.7,53.97
0.4,0.9,51.48
0.5,0.1,72.03
0.5,0.3,65.71
0.5,0.4,61.19
0.5,0.5,57.39
0.5,0.6,54.71
0.5,0.7,53.49
0.6,0.1,71.62
0.6,0.3,65.42
0.6,0.4,60.94
0.6,0.5,57.13
0.6,0.6,54.48
0.6,0.7,53.26
0.7,0.1,71.43
0.7,0.3,65.32
0.7,0.4,60.81
0.7,0.5,57.02
0.7,0.6,54.38
0.9,0.1,71.07
0.9,0.3,64.95
0.9,0.4,60.45
