solar,wind,backup capacity factor low
0.1,0.1,2.59
0.1,0.3,2.53
0.1,0.4,2.38
0.1,0.5,2.21
0.1,0.6,2.09
0.1,0.7,1.96
0.1,0.9,1.85
0.3,0.1,2.35
0.3,0.3,2.32
0.3,0.4,2.2
0.3,0.5,2.04
0.3,0.6,1.93
0.3,0.7,1.84
0.3,0.9,1.73
0.4,0.1,2.31
0.4,0.3,2.27
0.4,0.4,2.18
0.4,0.5,2.01
0.4,0.6,1.93
0.4,0.7,1.82
0.4,0.9,1.72
0.5,0.1,2.29
0.5,0.3,2.26
0.5,0.4,2.17
0.5,0.5,2.0
0.5,0.6,1.92
0.5,0.7,1.81
0.6,0.1,2.25
0.6,0.3,2.25
0.6,0.4,2.16
0.6,0.5,1.99
0.6,0.6,1.91
0.6,0.7,1.81
0.7,0.1,2.24
0.7,0.3,2.24
0.7,0.4,2.16
0.7,0.5,1.99
0.7,0.6,1.91
0.9,0.1,2.24
0.9,0.3,2.25
0.9,0.4,2.16
