solar,wind,solar absolute curt
0.1,0.1,736149.1
0.1,0.3,46450.7
0.1,0.4,54522.9
0.1,0.5,126806.7
0.1,0.6,186031.6
0.1,0.7,284443.0
0.1,0.9,814154.7
0.3,0.1,164726030.5
0.3,0.3,151418938.4
0.3,0.4,140954894.1
0.3,0.5,134551663.9
0.3,0.6,130690772.0
0.3,0.7,127898607.1
0.3,0.9,125590390.4
0.4,0.1,401613903.3
0.4,0.3,398073616.5
0.4,0.4,395685286.3
0.4,0.5,390471397.5
0.4,0.6,388072049.6
0.4,0.7,383479411.6
0.4,0.9,381435762.1
0.5,0.1,688634784.8
0.5,0.3,691683618.6
0.5,0.4,693999716.6
0.5,0.5,692075903.0
0.5,0.6,689451725.1
0.5,0.7,684955809.9
0.6,0.1,998206497.0
0.6,0.3,1003790145.2
0.6,0.4,1007298067.8
0.6,0.5,1005168767.4
0.6,0.6,1003768195.3
0.6,0.7,998680248.8
0.7,0.1,1314013270.4
0.7,0.3,1321781562.8
0.7,0.4,1324008366.0
0.7,0.5,1323153874.5
0.7,0.6,1321413013.4
0.9,0.1,1944927019.8
0.9,0.3,1952717323.7
0.9,0.4,1956179394.1
