solar,wind,solar cap
0.1,0.1,255.4
0.1,0.3,269.8
0.1,0.4,274.5
0.1,0.5,279.3
0.1,0.6,282.5
0.1,0.7,284.1
0.1,0.9,285.8
0.3,0.1,806.4
0.3,0.3,816.2
0.3,0.4,823.6
0.3,0.5,828.9
0.3,0.6,831.6
0.3,0.7,833.1
0.3,0.9,835.2
0.4,0.1,1046.7
0.4,0.3,1052.0
0.4,0.4,1055.0
0.4,0.5,1058.9
0.4,0.6,1061.0
0.4,0.7,1063.5
0.4,0.9,1064.9
0.5,0.1,1270.3
0.5,0.3,1272.9
0.5,0.4,1272.9
0.5,0.5,1275.4
0.5,0.6,1278.1
0.5,0.7,1280.4
0.6,0.1,1485.1
0.6,0.3,1486.8
0.6,0.4,1486.0
0.6,0.5,1489.5
0.6,0.6,1491.4
0.6,0.7,1494.0
0.7,0.1,1698.3
0.7,0.3,1697.9
0.7,0.4,1698.7
0.7,0.5,1701.8
0.7,0.6,1703.7
0.9,0.1,2127.9
0.9,0.3,2127.9
0.9,0.4,2128.6
