solar,wind,solar curt
0.1,0.1,0.2
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.1
0.1,0.7,0.1
0.1,0.9,0.3
0.3,0.1,17.1
0.3,0.3,15.7
0.3,0.4,14.6
0.3,0.5,14.0
0.3,0.6,13.6
0.3,0.7,13.3
0.3,0.9,13.0
0.4,0.1,31.2
0.4,0.3,31.0
0.4,0.4,30.8
0.4,0.5,30.4
0.4,0.6,30.2
0.4,0.7,29.8
0.4,0.9,29.7
0.5,0.1,42.8
0.5,0.3,43.0
0.5,0.4,43.2
0.5,0.5,43.1
0.5,0.6,42.9
0.5,0.7,42.6
0.6,0.1,51.8
0.6,0.3,52.0
0.6,0.4,52.2
0.6,0.5,52.1
0.6,0.6,52.0
0.6,0.7,51.8
0.7,0.1,58.4
0.7,0.3,58.7
0.7,0.4,58.8
0.7,0.5,58.8
0.7,0.6,58.7
0.9,0.1,67.2
0.9,0.3,67.5
0.9,0.4,67.6
