solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,24.9
0.3,0.3,25.3
0.3,0.4,25.6
0.3,0.5,25.8
0.3,0.6,25.9
0.3,0.7,26.0
0.3,0.9,26.1
0.4,0.1,27.5
0.4,0.3,27.6
0.4,0.4,27.7
0.4,0.5,27.9
0.4,0.6,27.9
0.4,0.7,28.1
0.4,0.9,28.1
0.5,0.1,28.6
0.5,0.3,28.5
0.5,0.4,28.4
0.5,0.5,28.5
0.5,0.6,28.6
0.5,0.7,28.7
0.6,0.1,28.9
0.6,0.3,28.8
0.6,0.4,28.7
0.6,0.5,28.7
0.6,0.6,28.8
0.6,0.7,28.9
0.7,0.1,29.1
0.7,0.3,28.9
0.7,0.4,28.8
0.7,0.5,28.8
0.7,0.6,28.9
0.9,0.1,29.5
0.9,0.3,29.3
0.9,0.4,29.1
