solar,wind,wind absolute curt
0.1,0.1,1201307.4
0.1,0.3,24552557.7
0.1,0.4,60125454.4
0.1,0.5,147527632.6
0.1,0.6,290445097.5
0.1,0.7,457478062.1
0.1,0.9,873878852.4
0.3,0.1,10089282.5
0.3,0.3,81089707.4
0.3,0.4,160497597.4
0.3,0.5,290488524.1
0.3,0.6,464279446.8
0.3,0.7,674951677.4
0.3,0.9,1131218290.0
0.4,0.1,13236891.0
0.4,0.3,100679759.5
0.4,0.4,185309930.2
0.4,0.5,322036400.7
0.4,0.6,498858856.3
0.4,0.7,714909909.5
0.4,0.9,1176560358.9
0.5,0.1,13571301.0
0.5,0.3,107785022.9
0.5,0.4,193869050.6
0.5,0.5,330442297.2
0.5,0.6,508837939.1
0.5,0.7,726743140.9
0.6,0.1,13088966.9
0.6,0.3,110011456.5
0.6,0.4,196782014.9
0.6,0.5,333901212.6
0.6,0.6,512123649.2
0.6,0.7,730965885.4
0.7,0.1,13051922.9
0.7,0.3,110989826.7
0.7,0.4,198760160.3
0.7,0.5,335377657.3
0.7,0.6,514159221.6
0.9,0.1,13588686.7
0.9,0.3,114316975.4
0.9,0.4,202198934.5
