solar,wind,wind cap
0.1,0.1,106.9
0.1,0.3,347.5
0.1,0.4,453.3
0.1,0.5,553.3
0.1,0.6,665.9
0.1,0.7,791.6
0.1,0.9,1062.2
0.3,0.1,107.9
0.3,0.3,346.2
0.3,0.4,452.8
0.3,0.5,555.4
0.3,0.6,674.3
0.3,0.7,806.5
0.3,0.9,1078.3
0.4,0.1,108.0
0.4,0.3,345.3
0.4,0.4,451.6
0.4,0.5,554.8
0.4,0.6,674.8
0.4,0.7,808.8
0.4,0.9,1078.7
0.5,0.1,107.4
0.5,0.3,345.2
0.5,0.4,452.3
0.5,0.5,555.0
0.5,0.6,675.7
0.5,0.7,809.4
0.6,0.1,106.6
0.6,0.3,345.4
0.6,0.4,452.3
0.6,0.5,554.9
0.6,0.6,675.9
0.6,0.7,809.9
0.7,0.1,106.5
0.7,0.3,345.7
0.7,0.4,452.2
0.7,0.5,555.0
0.7,0.6,676.3
0.9,0.1,107.0
0.9,0.3,344.5
0.9,0.4,450.8
