solar,wind,wind curt
0.1,0.1,0.4
0.1,0.3,2.5
0.1,0.4,4.7
0.1,0.5,9.2
0.1,0.6,15.1
0.1,0.7,20.3
0.1,0.9,30.2
0.3,0.1,3.1
0.3,0.3,8.4
0.3,0.4,12.5
0.3,0.5,18.1
0.3,0.6,24.1
0.3,0.7,30.0
0.3,0.9,39.1
0.4,0.1,4.1
0.4,0.3,10.4
0.4,0.4,14.4
0.4,0.5,20.0
0.4,0.6,25.9
0.4,0.7,31.8
0.4,0.9,40.7
0.5,0.1,4.2
0.5,0.3,11.2
0.5,0.4,15.1
0.5,0.5,20.6
0.5,0.6,26.4
0.5,0.7,32.3
0.6,0.1,4.1
0.6,0.3,11.4
0.6,0.4,15.3
0.6,0.5,20.8
0.6,0.6,26.6
0.6,0.7,32.5
0.7,0.1,4.1
0.7,0.3,11.5
0.7,0.4,15.5
0.7,0.5,20.9
0.7,0.6,26.7
0.9,0.1,4.2
0.9,0.3,11.9
0.9,0.4,15.7
