solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.2
0.1,0.4,38.1
0.1,0.5,45.4
0.1,0.6,51.0
0.1,0.7,55.8
0.1,0.9,62.8
0.3,0.1,9.7
0.3,0.3,27.5
0.3,0.4,35.0
0.3,0.5,41.0
0.3,0.6,45.6
0.3,0.7,49.0
0.3,0.9,54.8
0.4,0.1,9.6
0.4,0.3,26.9
0.4,0.4,34.2
0.4,0.5,40.0
0.4,0.6,44.5
0.4,0.7,47.8
0.4,0.9,53.4
0.5,0.1,9.6
0.5,0.3,26.6
0.5,0.4,34.0
0.5,0.5,39.7
0.5,0.6,44.2
0.5,0.7,47.4
0.6,0.1,9.6
0.6,0.3,26.6
0.6,0.4,33.9
0.6,0.5,39.6
0.6,0.6,44.1
0.6,0.7,47.3
0.7,0.1,9.6
0.7,0.3,26.5
0.7,0.4,33.8
0.7,0.5,39.6
0.7,0.6,44.0
0.9,0.1,9.6
0.9,0.3,26.4
0.9,0.4,33.7
