solar,wind,DK wind cap
0.1,0.1,14.2
0.1,0.3,17.4
0.1,0.4,19.3
0.1,0.5,25.3
0.1,0.6,34.9
0.1,0.7,53.1
0.3,0.1,14.0
0.3,0.3,17.8
0.3,0.4,21.2
0.3,0.5,29.2
0.3,0.6,39.2
0.3,0.7,58.3
0.3,0.9,73.4
0.4,0.1,14.1
0.4,0.3,18.3
0.4,0.4,22.0
0.4,0.5,29.5
0.4,0.6,38.5
0.4,0.7,56.1
0.4,0.9,73.4
0.5,0.1,14.1
0.5,0.3,18.5
0.5,0.4,22.2
0.5,0.5,29.8
0.5,0.6,38.6
0.5,0.7,54.8
0.6,0.1,14.1
0.6,0.3,18.5
0.6,0.4,22.3
0.6,0.5,29.9
0.6,0.6,38.7
0.6,0.7,54.4
0.7,0.1,14.1
0.7,0.3,18.6
0.7,0.4,22.4
0.7,0.5,30.0
0.7,0.6,38.9
0.9,0.1,14.1
0.9,0.3,18.7
0.9,0.4,22.5
