solar,wind,SDES absolute dispatch
0.1,0.1,666.3
0.1,0.3,1601.6
0.1,0.4,2061.7
0.1,0.5,2260.2
0.1,0.6,2057.2
0.1,0.7,1027.1
0.3,0.1,2903.1
0.3,0.3,364.1
0.3,0.4,752.7
0.3,0.5,1300.9
0.3,0.6,2105.1
0.3,0.7,2170.8
0.3,0.9,651.8
0.4,0.1,866.4
0.4,0.3,2408.2
0.4,0.4,683.3
0.4,0.5,629.1
0.4,0.6,1105.8
0.4,0.7,138049.7
0.4,0.9,58617.1
0.5,0.1,615.3
0.5,0.3,1114.4
0.5,0.4,619.0
0.5,0.5,997.5
0.5,0.6,440.3
0.5,0.7,1279.6
0.6,0.1,1464.4
0.6,0.3,834.7
0.6,0.4,2178.7
0.6,0.5,1571.2
0.6,0.6,0.0
0.6,0.7,28933.7
0.7,0.1,2068.4
0.7,0.3,481.0
0.7,0.4,913.5
0.7,0.5,8812.4
0.7,0.6,622.0
0.9,0.1,2602.0
0.9,0.3,38993.3
0.9,0.4,372.7
