solar,wind,VRE curt
0.1,0.1,0.6
0.1,0.3,4.2
0.1,0.4,5.5
0.1,0.5,9.4
0.1,0.6,14.9
0.1,0.7,20.9
0.3,0.1,9.1
0.3,0.3,12.9
0.3,0.4,15.4
0.3,0.5,19.9
0.3,0.6,24.8
0.3,0.7,30.0
0.3,0.9,38.8
0.4,0.1,20.1
0.4,0.3,21.7
0.4,0.4,23.4
0.4,0.5,27.1
0.4,0.6,31.2
0.4,0.7,36.0
0.4,0.9,44.2
0.5,0.1,29.9
0.5,0.3,28.9
0.5,0.4,29.6
0.5,0.5,32.5
0.5,0.6,36.0
0.5,0.7,40.2
0.6,0.1,37.5
0.6,0.3,34.2
0.6,0.4,34.0
0.6,0.5,36.2
0.6,0.6,39.3
0.6,0.7,43.2
0.7,0.1,43.3
0.7,0.3,38.0
0.7,0.4,37.2
0.7,0.5,39.0
0.7,0.6,41.8
0.9,0.1,51.3
0.9,0.3,43.3
0.9,0.4,41.6
