solar,wind,solar capacity factor
0.1,0.1,11.7
0.1,0.3,11.5
0.1,0.4,11.4
0.1,0.5,11.2
0.1,0.6,11.3
0.1,0.7,11.2
0.3,0.1,10.8
0.3,0.3,10.5
0.3,0.4,10.5
0.3,0.5,10.2
0.3,0.6,10.1
0.3,0.7,10.1
0.3,0.9,10.1
0.4,0.1,10.3
0.4,0.3,10.0
0.4,0.4,10.0
0.4,0.5,10.0
0.4,0.6,9.8
0.4,0.7,9.8
0.4,0.9,9.8
0.5,0.1,10.1
0.5,0.3,9.9
0.5,0.4,9.9
0.5,0.5,9.7
0.5,0.6,9.8
0.5,0.7,9.7
0.6,0.1,10.0
0.6,0.3,9.8
0.6,0.4,9.8
0.6,0.5,9.8
0.6,0.6,9.9
0.6,0.7,9.9
0.7,0.1,9.9
0.7,0.3,9.7
0.7,0.4,9.7
0.7,0.5,9.7
0.7,0.6,9.8
0.9,0.1,9.9
0.9,0.3,9.7
0.9,0.4,9.7
