solar,wind,solar curt
0.1,0.1,0.4
0.1,0.3,0.3
0.1,0.4,0.3
0.1,0.5,0.3
0.1,0.6,0.4
0.1,0.7,0.6
0.3,0.1,10.6
0.3,0.3,14.1
0.3,0.4,16.3
0.3,0.5,18.6
0.3,0.6,20.6
0.3,0.7,22.6
0.3,0.9,25.2
0.4,0.1,24.2
0.4,0.3,28.3
0.4,0.4,30.9
0.4,0.5,33.6
0.4,0.6,36.2
0.4,0.7,38.3
0.4,0.9,40.7
0.5,0.1,36.3
0.5,0.3,40.5
0.5,0.4,43.1
0.5,0.5,45.6
0.5,0.6,48.0
0.5,0.7,49.5
0.6,0.1,45.9
0.6,0.3,49.9
0.6,0.4,52.1
0.6,0.5,54.3
0.6,0.6,56.3
0.6,0.7,57.6
0.7,0.1,53.3
0.7,0.3,56.7
0.7,0.4,58.7
0.7,0.5,60.6
0.7,0.6,62.3
0.9,0.1,63.4
0.9,0.3,66.1
0.9,0.4,67.6
