solar,wind,solar theo share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.3,0.1,30.0
0.3,0.3,30.0
0.3,0.4,30.0
0.3,0.5,30.0
0.3,0.6,30.0
0.3,0.7,30.0
0.3,0.9,30.0
0.4,0.1,40.0
0.4,0.3,40.0
0.4,0.4,40.0
0.4,0.5,40.0
0.4,0.6,40.0
0.4,0.7,40.0
0.4,0.9,40.0
0.5,0.1,50.0
0.5,0.3,50.0
0.5,0.4,50.0
0.5,0.5,50.0
0.5,0.6,50.0
0.5,0.7,50.0
0.6,0.1,60.0
0.6,0.3,60.0
0.6,0.4,60.0
0.6,0.5,60.0
0.6,0.6,60.0
0.6,0.7,60.0
0.7,0.1,70.0
0.7,0.3,70.0
0.7,0.4,70.0
0.7,0.5,70.0
0.7,0.6,70.0
0.9,0.1,90.0
0.9,0.3,90.0
0.9,0.4,90.0
