solar,wind,wind absolute curt
0.1,0.1,2721389.5
0.1,0.3,53295375.6
0.1,0.4,89307015.5
0.1,0.5,184889951.8
0.1,0.6,343460122.5
0.1,0.7,556783168.6
0.3,0.1,15755064.7
0.3,0.3,113306198.8
0.3,0.4,189229278.4
0.3,0.5,333073224.5
0.3,0.6,521094755.6
0.3,0.7,758382405.0
0.3,0.9,1299847778.3
0.4,0.1,21632995.9
0.4,0.3,139425117.0
0.4,0.4,220380150.4
0.4,0.5,363662153.3
0.4,0.6,545403185.1
0.4,0.7,781589337.3
0.4,0.9,1327190502.1
0.5,0.1,24466835.1
0.5,0.3,147574251.0
0.5,0.4,229763334.1
0.5,0.5,371727815.4
0.5,0.6,555008784.2
0.5,0.7,789552810.5
0.6,0.1,25455927.8
0.6,0.3,149507393.0
0.6,0.4,232470654.4
0.6,0.5,374915474.9
0.6,0.6,558105949.8
0.6,0.7,791118646.8
0.7,0.1,25871616.6
0.7,0.3,151012948.7
0.7,0.4,234461216.2
0.7,0.5,376838077.0
0.7,0.6,559489855.1
0.9,0.1,26103941.4
0.9,0.3,151607109.6
0.9,0.4,236699658.8
