solar,wind,wind capacity factor
0.1,0.1,23.5
0.1,0.3,23.5
0.1,0.4,23.1
0.1,0.5,22.5
0.1,0.6,21.8
0.1,0.7,21.4
0.3,0.1,22.1
0.3,0.3,22.8
0.3,0.4,22.3
0.3,0.5,21.1
0.3,0.6,20.6
0.3,0.7,19.8
0.3,0.9,19.7
0.4,0.1,22.5
0.4,0.3,21.7
0.4,0.4,21.6
0.4,0.5,21.2
0.4,0.6,20.2
0.4,0.7,19.5
0.4,0.9,19.2
0.5,0.1,22.5
0.5,0.3,21.6
0.5,0.4,21.7
0.5,0.5,20.7
0.5,0.6,20.7
0.5,0.7,19.5
0.6,0.1,21.8
0.6,0.3,21.9
0.6,0.4,21.3
0.6,0.5,20.8
0.6,0.6,20.7
0.6,0.7,19.9
0.7,0.1,21.7
0.7,0.3,21.9
0.7,0.4,21.2
0.7,0.5,20.2
0.7,0.6,20.5
0.9,0.1,22.1
0.9,0.3,21.7
0.9,0.4,21.6
