solar,wind,wind curt
0.1,0.1,0.8
0.1,0.3,5.5
0.1,0.4,6.9
0.1,0.5,11.5
0.1,0.6,17.8
0.1,0.7,24.7
0.3,0.1,4.9
0.3,0.3,11.7
0.3,0.4,14.7
0.3,0.5,20.7
0.3,0.6,27.0
0.3,0.7,33.7
0.3,0.9,44.9
0.4,0.1,6.7
0.4,0.3,14.5
0.4,0.4,17.1
0.4,0.5,22.6
0.4,0.6,28.3
0.4,0.7,34.7
0.4,0.9,45.9
0.5,0.1,7.6
0.5,0.3,15.3
0.5,0.4,17.9
0.5,0.5,23.1
0.5,0.6,28.8
0.5,0.7,35.1
0.6,0.1,7.9
0.6,0.3,15.5
0.6,0.4,18.1
0.6,0.5,23.3
0.6,0.6,28.9
0.6,0.7,35.2
0.7,0.1,8.0
0.7,0.3,15.7
0.7,0.4,18.2
0.7,0.5,23.4
0.7,0.6,29.0
0.9,0.1,8.1
0.9,0.3,15.7
0.9,0.4,18.4
