solar,wind,ES solar cap
0.1,0.1,44.6
0.1,0.3,43.2
0.1,0.4,43.5
0.1,0.5,42.6
0.1,0.6,42.0
0.1,0.7,42.0
0.1,0.9,42.0
0.3,0.1,94.7
0.3,0.3,111.7
0.3,0.4,123.4
0.3,0.5,120.0
0.3,0.6,127.1
0.3,0.7,133.1
0.3,0.9,145.6
0.4,0.1,151.7
0.4,0.3,178.0
0.4,0.4,179.4
0.4,0.5,215.9
0.4,0.6,236.1
0.4,0.7,249.4
0.4,0.9,271.9
0.5,0.1,263.0
0.5,0.3,296.0
0.5,0.4,325.5
0.5,0.5,362.7
0.5,0.6,390.0
0.5,0.7,409.1
0.6,0.1,390.4
0.6,0.3,457.7
0.6,0.4,495.6
0.6,0.5,533.3
0.6,0.6,564.5
0.6,0.7,586.2
0.7,0.1,551.1
0.7,0.3,633.4
0.7,0.4,672.0
0.7,0.5,709.7
0.7,0.6,741.8
0.9,0.1,906.0
0.9,0.3,991.9
0.9,0.4,1033.7
