solar,wind,SDES absolute dispatch
0.1,0.1,407.6
0.1,0.3,627.9
0.1,0.4,449.4
0.1,0.5,607.3
0.1,0.6,739.6
0.1,0.7,608.2
0.1,0.9,723.7
0.3,0.1,404.6
0.3,0.3,704.8
0.3,0.4,555.4
0.3,0.5,796.7
0.3,0.6,586.2
0.3,0.7,891.7
0.3,0.9,888.9
0.4,0.1,797.7
0.4,0.3,632.2
0.4,0.4,720.9
0.4,0.5,733.9
0.4,0.6,973.2
0.4,0.7,817.0
0.4,0.9,612.2
0.5,0.1,612.8
0.5,0.3,657.8
0.5,0.4,600.2
0.5,0.5,689.6
0.5,0.6,684.9
0.5,0.7,921.7
0.6,0.1,484.7
0.6,0.3,666.5
0.6,0.4,685.2
0.6,0.5,556.0
0.6,0.6,971.5
0.6,0.7,857.5
0.7,0.1,752.7
0.7,0.3,680.4
0.7,0.4,808.3
0.7,0.5,513.9
0.7,0.6,1027.7
0.9,0.1,703.0
0.9,0.3,798.5
0.9,0.4,786.8
