solar,wind,VRE curt
0.1,0.1,0.0
0.1,0.3,1.5
0.1,0.4,2.1
0.1,0.5,5.0
0.1,0.6,9.8
0.1,0.7,17.7
0.1,0.9,31.3
0.3,0.1,0.3
0.3,0.3,4.4
0.3,0.4,7.5
0.3,0.5,18.8
0.3,0.6,23.9
0.3,0.7,29.2
0.3,0.9,37.9
0.4,0.1,10.2
0.4,0.3,15.9
0.4,0.4,22.1
0.4,0.5,26.1
0.4,0.6,30.8
0.4,0.7,35.5
0.4,0.9,43.5
0.5,0.1,21.3
0.5,0.3,27.7
0.5,0.4,28.7
0.5,0.5,31.9
0.5,0.6,36.1
0.5,0.7,40.4
0.6,0.1,34.9
0.6,0.3,33.4
0.6,0.4,33.6
0.6,0.5,36.1
0.6,0.6,39.9
0.6,0.7,43.8
0.7,0.1,42.0
0.7,0.3,37.7
0.7,0.4,37.1
0.7,0.5,39.1
0.7,0.6,42.5
0.9,0.1,50.6
0.9,0.3,43.5
0.9,0.4,41.9
