solar,wind,VRE share
0.1,0.1,20.0
0.1,0.3,39.4
0.1,0.4,48.9
0.1,0.5,57.0
0.1,0.6,63.0
0.1,0.7,65.4
0.1,0.9,67.0
0.3,0.1,39.9
0.3,0.3,57.4
0.3,0.4,64.8
0.3,0.5,65.0
0.3,0.6,68.2
0.3,0.7,70.0
0.3,0.9,72.3
0.4,0.1,44.8
0.4,0.3,58.5
0.4,0.4,62.0
0.4,0.5,66.4
0.4,0.6,69.2
0.4,0.7,70.9
0.4,0.9,72.9
0.5,0.1,46.5
0.5,0.3,56.7
0.5,0.4,62.6
0.5,0.5,66.8
0.5,0.6,69.4
0.5,0.7,71.2
0.6,0.1,44.1
0.6,0.3,56.9
0.6,0.4,62.9
0.6,0.5,67.0
0.6,0.6,69.6
0.6,0.7,71.3
0.7,0.1,43.6
0.7,0.3,57.1
0.7,0.4,62.9
0.7,0.5,67.1
0.7,0.6,69.7
0.9,0.1,43.7
0.9,0.3,57.2
0.9,0.4,63.0
