solar,wind,backup capacity factor low
0.1,0.1,11.17
0.1,0.3,12.28
0.1,0.4,12.95
0.1,0.5,12.54
0.1,0.6,12.26
0.1,0.7,12.18
0.1,0.9,12.04
0.3,0.1,12.4
0.3,0.3,11.67
0.3,0.4,11.62
0.3,0.5,11.32
0.3,0.6,11.2
0.3,0.7,11.16
0.3,0.9,11.08
0.4,0.1,11.96
0.4,0.3,11.67
0.4,0.4,11.62
0.4,0.5,11.44
0.4,0.6,11.25
0.4,0.7,11.2
0.4,0.9,11.08
0.5,0.1,12.01
0.5,0.3,11.63
0.5,0.4,11.58
0.5,0.5,11.42
0.5,0.6,11.28
0.5,0.7,11.21
0.6,0.1,12.03
0.6,0.3,11.59
0.6,0.4,11.57
0.6,0.5,11.45
0.6,0.6,11.29
0.6,0.7,11.22
0.7,0.1,12.05
0.7,0.3,11.55
0.7,0.4,11.52
0.7,0.5,11.45
0.7,0.6,11.29
0.9,0.1,11.98
0.9,0.3,11.52
0.9,0.4,11.5
