solar,wind,solar absolute curt
0.1,0.1,36.9
0.1,0.3,46.6
0.1,0.4,161.7
0.1,0.5,884.2
0.1,0.6,88986.8
0.1,0.7,589278.7
0.1,0.9,931010.5
0.3,0.1,3471376.0
0.3,0.3,52876388.6
0.3,0.4,87070536.2
0.3,0.5,131754528.8
0.3,0.6,144821228.0
0.3,0.7,156910776.7
0.3,0.9,179674253.6
0.4,0.1,154169643.4
0.4,0.3,271910624.0
0.4,0.4,314566219.9
0.4,0.5,341612169.4
0.4,0.6,364392891.0
0.4,0.7,382618505.0
0.4,0.9,416051815.5
0.5,0.1,403361708.7
0.5,0.3,531671685.1
0.5,0.4,568760731.6
0.5,0.5,601999726.9
0.5,0.6,628812200.1
0.5,0.7,646599294.5
0.6,0.1,724563176.1
0.6,0.3,803097145.1
0.6,0.4,842448953.3
0.6,0.5,876868597.5
0.6,0.6,903648837.1
0.6,0.7,922493531.6
0.7,0.1,1012064817.8
0.7,0.3,1080736981.2
0.7,0.4,1119787644.9
0.7,0.5,1154435243.0
0.7,0.6,1182303054.3
0.9,0.1,1570953730.1
0.9,0.3,1639259322.8
0.9,0.4,1680020641.6
