solar,wind,solar cap
0.1,0.1,221.5
0.1,0.3,227.1
0.1,0.4,228.0
0.1,0.5,231.5
0.1,0.6,236.1
0.1,0.7,232.6
0.1,0.9,221.4
0.3,0.1,768.4
0.3,0.3,776.5
0.3,0.4,773.1
0.3,0.5,720.1
0.3,0.6,713.6
0.3,0.7,708.3
0.3,0.9,696.8
0.4,0.1,1020.7
0.4,0.3,987.8
0.4,0.4,942.0
0.4,0.5,928.3
0.4,0.6,917.5
0.4,0.7,909.5
0.4,0.9,894.7
0.5,0.1,1242.9
0.5,0.3,1154.8
0.5,0.4,1137.7
0.5,0.5,1122.2
0.5,0.6,1108.5
0.5,0.7,1100.5
0.6,0.1,1391.1
0.6,0.3,1344.1
0.6,0.4,1325.5
0.6,0.5,1309.5
0.6,0.6,1295.9
0.6,0.7,1287.7
0.7,0.1,1568.4
0.7,0.3,1529.9
0.7,0.4,1511.9
0.7,0.5,1496.2
0.7,0.6,1482.9
0.9,0.1,1938.3
0.9,0.3,1901.0
0.9,0.4,1883.0
