solar,wind,solar curt
0.1,0.1,0.0
0.1,0.3,0.0
0.1,0.4,0.0
0.1,0.5,0.0
0.1,0.6,0.0
0.1,0.7,0.2
0.1,0.9,0.3
0.3,0.1,0.4
0.3,0.3,5.8
0.3,0.4,9.5
0.3,0.5,15.4
0.3,0.6,17.0
0.3,0.7,18.4
0.3,0.9,21.1
0.4,0.1,12.8
0.4,0.3,22.8
0.4,0.4,27.5
0.4,0.5,30.0
0.4,0.6,32.1
0.4,0.7,33.7
0.4,0.9,36.8
0.5,0.1,26.7
0.5,0.3,37.2
0.5,0.4,39.9
0.5,0.5,42.4
0.5,0.6,44.4
0.5,0.7,45.7
0.6,0.1,41.9
0.6,0.3,47.0
0.6,0.4,49.4
0.6,0.5,51.5
0.6,0.6,53.2
0.6,0.7,54.3
0.7,0.1,50.8
0.7,0.3,54.3
0.7,0.4,56.4
0.7,0.5,58.2
0.7,0.6,59.6
0.9,0.1,61.5
0.9,0.3,64.3
0.9,0.4,65.9
