solar,wind,solar share
0.1,0.1,10.0
0.1,0.3,10.0
0.1,0.4,10.0
0.1,0.5,10.0
0.1,0.6,10.0
0.1,0.7,10.0
0.1,0.9,10.0
0.3,0.1,29.9
0.3,0.3,28.3
0.3,0.4,27.2
0.3,0.5,25.4
0.3,0.6,24.9
0.3,0.7,24.5
0.3,0.9,23.7
0.4,0.1,34.9
0.4,0.3,30.9
0.4,0.4,29.0
0.4,0.5,28.0
0.4,0.6,27.2
0.4,0.7,26.5
0.4,0.9,25.3
0.5,0.1,36.6
0.5,0.3,31.4
0.5,0.4,30.0
0.5,0.5,28.8
0.5,0.6,27.8
0.5,0.7,27.2
0.6,0.1,34.9
0.6,0.3,31.8
0.6,0.4,30.4
0.6,0.5,29.1
0.6,0.6,28.1
0.6,0.7,27.4
0.7,0.1,34.5
0.7,0.3,32.0
0.7,0.4,30.5
0.7,0.5,29.3
0.7,0.6,28.2
0.9,0.1,34.6
0.9,0.3,32.2
0.9,0.4,30.7
