solar,wind,wind cap
0.1,0.1,86.5
0.1,0.3,269.2
0.1,0.4,378.7
0.1,0.5,482.5
0.1,0.6,603.7
0.1,0.7,691.5
0.1,0.9,847.3
0.3,0.1,90.4
0.3,0.3,289.5
0.3,0.4,398.9
0.3,0.5,460.4
0.3,0.6,552.4
0.3,0.7,644.5
0.3,0.9,823.8
0.4,0.1,92.1
0.4,0.3,286.5
0.4,0.4,371.9
0.4,0.5,461.7
0.4,0.6,550.1
0.4,0.7,642.0
0.4,0.9,821.0
0.5,0.1,92.9
0.5,0.3,273.0
0.5,0.4,370.9
0.5,0.5,462.1
0.5,0.6,548.4
0.5,0.7,641.0
0.6,0.1,88.4
0.6,0.3,272.5
0.6,0.4,369.8
0.6,0.5,461.7
0.6,0.6,547.5
0.6,0.7,640.3
0.7,0.1,87.3
0.7,0.3,271.9
0.7,0.4,369.3
0.7,0.5,461.5
0.7,0.6,547.0
0.9,0.1,86.8
0.9,0.3,271.3
0.9,0.4,368.4
