solar,wind,wind curt
0.1,0.1,0.0
0.1,0.3,1.9
0.1,0.4,2.7
0.1,0.5,6.1
0.1,0.6,11.6
0.1,0.7,20.8
0.1,0.9,36.7
0.3,0.1,0.0
0.3,0.3,3.1
0.3,0.4,6.1
0.3,0.5,20.9
0.3,0.6,27.8
0.3,0.7,35.0
0.3,0.9,46.0
0.4,0.1,0.9
0.4,0.3,8.2
0.4,0.4,17.4
0.4,0.5,23.3
0.4,0.6,29.9
0.4,0.7,36.6
0.4,0.9,47.2
0.5,0.1,1.2
0.5,0.3,15.8
0.5,0.4,18.4
0.5,0.5,23.9
0.5,0.6,30.6
0.5,0.7,37.1
0.6,0.1,8.3
0.6,0.3,16.2
0.6,0.4,18.8
0.6,0.5,24.2
0.6,0.6,30.9
0.6,0.7,37.2
0.7,0.1,8.6
0.7,0.3,16.4
0.7,0.4,19.0
0.7,0.5,24.3
0.7,0.6,30.9
0.9,0.1,8.8
0.9,0.3,16.7
0.9,0.4,19.1
