solar,wind,wind share
0.1,0.1,10.0
0.1,0.3,29.4
0.1,0.4,38.9
0.1,0.5,47.0
0.1,0.6,53.0
0.1,0.7,55.4
0.1,0.9,57.0
0.3,0.1,10.0
0.3,0.3,29.1
0.3,0.4,37.6
0.3,0.5,39.6
0.3,0.6,43.3
0.3,0.7,45.5
0.3,0.9,48.6
0.4,0.1,9.9
0.4,0.3,27.6
0.4,0.4,33.0
0.4,0.5,38.4
0.4,0.6,42.0
0.4,0.7,44.4
0.4,0.9,47.6
0.5,0.1,9.9
0.5,0.3,25.3
0.5,0.4,32.6
0.5,0.5,38.0
0.5,0.6,41.6
0.5,0.7,44.0
0.6,0.1,9.2
0.6,0.3,25.1
0.6,0.4,32.5
0.6,0.5,37.9
0.6,0.6,41.5
0.6,0.7,43.9
0.7,0.1,9.1
0.7,0.3,25.1
0.7,0.4,32.4
0.7,0.5,37.8
0.7,0.6,41.5
0.9,0.1,9.1
0.9,0.3,25.0
0.9,0.4,32.3
