solar,wind,DK wind cap
0.1,0.1,14.3
0.1,0.3,16.5
0.1,0.4,18.0
0.1,0.5,21.3
0.1,0.6,25.4
0.1,0.7,29.3
0.1,0.9,43.0
0.3,0.1,13.9
0.3,0.3,16.0
0.3,0.4,17.6
0.3,0.5,19.9
0.3,0.6,24.5
0.3,0.7,31.6
0.3,0.9,58.5
0.4,0.1,13.8
0.4,0.3,15.7
0.4,0.4,17.2
0.4,0.5,19.4
0.4,0.6,24.8
0.4,0.7,32.8
0.4,0.9,61.8
0.5,0.1,13.7
0.5,0.3,15.6
0.5,0.4,17.0
0.5,0.5,19.4
0.5,0.6,24.6
0.5,0.7,32.8
0.6,0.1,13.6
0.6,0.3,15.4
0.6,0.4,16.9
0.6,0.5,19.2
0.6,0.6,24.5
0.6,0.7,32.4
0.7,0.1,13.5
0.7,0.3,15.3
0.7,0.4,16.7
0.7,0.5,18.9
0.7,0.6,24.4
0.9,0.1,13.4
0.9,0.3,15.1
0.9,0.4,16.3
