solar,wind,ES solar cap
0.1,0.1,42.1
0.1,0.3,42.0
0.1,0.4,39.9
0.1,0.5,39.8
0.1,0.6,42.0
0.1,0.7,42.0
0.1,0.9,42.0
0.3,0.1,119.1
0.3,0.3,112.8
0.3,0.4,112.0
0.3,0.5,117.8
0.3,0.6,112.6
0.3,0.7,113.3
0.3,0.9,125.6
0.4,0.1,153.0
0.4,0.3,153.5
0.4,0.4,166.7
0.4,0.5,162.1
0.4,0.6,175.1
0.4,0.7,194.3
0.4,0.9,246.1
0.5,0.1,268.6
0.5,0.3,254.5
0.5,0.4,259.8
0.5,0.5,266.9
0.5,0.6,313.9
0.5,0.7,356.3
0.6,0.1,431.2
0.6,0.3,416.8
0.6,0.4,417.3
0.6,0.5,442.8
0.6,0.6,495.6
0.6,0.7,562.2
0.7,0.1,615.5
0.7,0.3,618.5
0.7,0.4,625.1
0.7,0.5,637.7
0.7,0.6,717.3
0.9,0.1,1039.6
0.9,0.3,1066.7
0.9,0.4,1101.2
