solar,wind,ES wind cap
0.1,0.1,0.7
0.1,0.3,19.4
0.1,0.4,26.2
0.1,0.5,36.1
0.1,0.6,53.8
0.1,0.7,76.4
0.1,0.9,85.4
0.3,0.1,0.3
0.3,0.3,17.7
0.3,0.4,33.6
0.3,0.5,51.5
0.3,0.6,59.8
0.3,0.7,68.1
0.3,0.9,73.4
0.4,0.1,0.2
0.4,0.3,16.1
0.4,0.4,35.7
0.4,0.5,47.7
0.4,0.6,59.1
0.4,0.7,66.5
0.4,0.9,70.7
0.5,0.1,0.1
0.5,0.3,13.3
0.5,0.4,31.8
0.5,0.5,45.0
0.5,0.6,57.0
0.5,0.7,63.9
0.6,0.1,0.0
0.6,0.3,4.0
0.6,0.4,27.1
0.6,0.5,43.6
0.6,0.6,55.0
0.6,0.7,63.6
0.7,0.1,0.0
0.7,0.3,0.6
0.7,0.4,24.2
0.7,0.5,43.0
0.7,0.6,53.9
0.9,0.1,0.0
0.9,0.3,0.5
0.9,0.4,20.3
